"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Daily",0.8,"RandomTimestamp",300,"Daily","error_var_ct",0.108044176680459,0.00969067631937174,0.0889738655704106,0.127114487790507,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","beta_ct",-0.194594525324265,0.0398808805341963,-0.273076230219254,-0.116112820429277,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","LogLik_ct",93.6383465118852,NA,NA,NA,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","AIC_ct",97.6383465118852,NA,NA,NA,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","BIC_ct",105.045911461198,NA,NA,NA,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","error_var_dt",0.090755422931904,0.00741628671139792,0.0761608899801685,0.10534995588364,"DT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","beta_dt",0.819242563828191,0.0330929951427515,0.754118759035122,0.884366368621261,"DT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","LogLik_dt",131.99130440155,NA,NA,NA,"DT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","AIC_dt",135.99130440155,NA,NA,NA,"DT",1,1
"Daily",0.8,"RandomTimestamp",300,"Daily","BIC_dt",143.398869350862,NA,NA,NA,"DT",1,1
"Daily",0.8,"RandomTimestamp",300,"Weekly","error_var_ct",0.632717178162229,0.0899158060570201,0.455771592662651,0.809662763661807,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Weekly","beta_ct",-1.33263325751286,0.205345964161182,-1.73673419873596,-0.928532316289759,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Weekly","LogLik_ct",377.825808562393,NA,NA,NA,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Weekly","AIC_ct",381.825808562393,NA,NA,NA,"CT",1,1
"Daily",0.8,"RandomTimestamp",300,"Weekly","BIC_ct",389.233373511705,NA,NA,NA,"CT",1,1
